,PLAYER,POS,PROJECTION
486,Boston Scott,RB,6.2
487,Jace Amaro,TE,6.2
488,Alan Cross,TE,5.8
489,C.J. Ham,RB,5.8
490,Ryan Izzo,TE,5.3
491,Bo Scarbrough,RB,5.3
492,Darrell Daniels,TE,5.1
493,Cameron Artis-Payne,RB,5.1
494,Cobi Hamilton,WR,5.1
495,Xavier Grimble,TE,5.1
496,Alfred Morris,RB,4.9
497,MarQueis Gray,TE,4.7
498,Tavarres King,WR,4.7
499,Maurice Harris,WR,4.7
500,Jeremy Sprinkle,TE,4.7
501,Shane Vereen,RB,4.6
502,Darren Fells,TE,4.6
503,Temarrick Hemingway,TE,4.5
504,Shelton Gibson,WR,4.5
505,Jordan Thomas,TE,4.5
506,Justin Watson,WR,4.5
507,Travis Rudolph,WR,4.4
508,Chris Manhertz*,TE,4.3
509,Ben Koyack,TE,4.3
510,Mike Thomas,WR,4.2
511,Ryan Hewitt,RB,4.2
512,Luke Stocker,TE,4.2
513,Danny Vitale,RB,4.0
514,Damion Ratley,WR,4.0
515,Tre Madden,RB,4.0
516,Noah Brown,WR,3.9
517,Damiere Byrd,WR,3.9
518,Jehu Chesson,WR,3.9
519,Antony Auclair,TE,3.9
520,Troymaine Pope,RB,3.9
521,Devante Mays,RB,3.7
522,Riley McCarron,WR,3.6
523,Andre Roberts,WR,3.6
524,Auden Tate,WR,3.3
525,Charcandrick West,RB,3.1
526,Derrick Coleman,RB,3.0
527,Byron Marshall,RB,2.3
528,Taiwan Jones,RB,2.3
529,Maxx Williams,TE,2.2
530,Kerwynn Williams,RB,2.1
531,Kalif Raymond,WR,1.6
532,Fitzgerald Toussaint,RB,1.4
533,Brett Hundley,QB,1.3
534,Brian Hoyer,QB,1.3
535,Dwayne Harris,WR,1.3
536,Isaiah McKenzie,WR,1.2
537,David Fluellen,RB,1.2
538,Matt Cassel,QB,1.2
539,Chad Henne,QB,1.2
540,EJ Manuel,QB,1.2
541,Trevor Siemian,QB,1.2
542,Geno Smith,QB,1.2
543,Brandon Weeden,QB,1.2
544,Sean Mannion,QB,1.2
545,Chase Daniel,QB,1.2
546,Austin Davis,QB,1.1
547,Colt McCoy,QB,1.1
548,Matt Barkley,QB,1.1
549,Matt Schaub,QB,1.1
550,Roc Thomas,RB,1.1
551,C.J. Beathard,QB,1.1
552,Blaine Gabbert,QB,1.1
553,Tom Savage,QB,1.1
554,Brock Osweiler,QB,1.1
555,Chad Kelly,QB,1.1
556,Cody Kessler,QB,1.0
557,Mike White,QB,1.0
558,Tim Wright,TE,0.8
559,Nathan Peterman,QB,0.7
560,Kaelin Clay,WR,0.5
561,Victor Bolden Jr.,WR,0.2
562,Ryan Griffin,QB,0.2
563,Wendell Smallwood,RB,0.2
564,Matthew Dayes,RB,0.1
565,Shaun Hill,QB,0.0
566,Carson Palmer,QB,0.0
567,Anquan Boldin,WR,0.0
568,Jason Witten,TE,0.0
569,Antonio Gates,TE,0.0
570,Mike Nugent,K,0.0
571,Derek Anderson,QB,0.0
572,Nick Novak,K,0.0
573,John Kuhn,RB,0.0
574,Jay Cutler,QB,0.0
575,DeAngelo Williams,RB,0.0
576,Kellen Clemens,QB,0.0
577,Anthony Fasano,TE,0.0
578,Devin Hester,WR,0.0
579,Charlie Whitehurst,QB,0.0
580,Calvin Johnson,WR,0.0
581,Drew Stanton,QB,0.0
582,Brent Celek,TE,0.0
583,Nick Folk,K,0.0
584,Eric Weems,WR,0.0
585,Matt Moore,QB,0.0
586,Darren McFadden,RB,0.0
587,Chris Johnson,RB,0.0
588,Eddie Royal,WR,0.0
589,Matt Forte,RB,0.0
590,Martellus Bennett,TE,0.0
591,Jamaal Charles,RB,0.0
592,Harry Douglas,WR,0.0
593,Gary Barnidge,TE,0.0
594,Jerome Felton,RB,0.0
595,Tim Hightower,RB,0.0
596,Matthew Slater,WR,0.0
597,Kellen Davis,TE,0.0
598,Josh Johnson,QB,0.0
599,Justin Forsett,RB,0.0
