PLAYER,TEAM,POS,AGE,GP,GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Int,Rushing_Att,Rushing_Yds,Y/A,Rushing_TD,Tgt,Rec,Reception_Yds,Y/R,Rec_TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Randall Cobb,GNB,RB,22.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,132.0,13.2,0.0,104.0,80.0,954.0,11.93,8.0,,,155.0,235.0,247.6,200.6,24.0,19.0,52.0
Steve Smith,CAR,WR,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,9.0,0.0,137.0,73.0,1174.0,16.08,4.0,,,142.0,215.0,219.1,178.6,24.0,18.0,53.0
Lance Moore,NOR,WR,29.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,104.0,65.0,1041.0,16.02,6.0,,,140.0,205.0,208.1,172.6,22.0,19.0,54.0
BenJarvus Green-Ellis,CIN,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,278.0,1094.0,3.94,6.0,30.0,22.0,104.0,4.73,0.0,,,152.0,174.0,181.8,162.8,21.0,20.0,55.0
Steve Johnson,BUF,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,148.0,79.0,1046.0,13.24,6.0,,,139.0,218.0,221.6,178.1,20.0,20.0,56.0
Cecil Shorts,JAX,WR,25.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,105.0,55.0,979.0,17.8,7.0,,,138.0,193.0,196.5,165.0,19.0,21.0,57.0
Mikel Leshoure,DET,RB,22.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,215.0,798.0,3.71,9.0,49.0,34.0,214.0,6.29,0.0,,,149.0,183.0,192.2,166.2,19.0,21.0,58.0
Greg Olsen,CAR,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,104.0,69.0,843.0,12.22,5.0,,,114.0,183.0,186.3,148.8,19.0,6.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrey Smith,BAL,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,110.0,49.0,855.0,17.45,8.0,,,134.0,183.0,186.4,158.9,16.0,22.0,60.0
LeSean McCoy,PHI,RB,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,200.0,840.0,4.2,2.0,67.0,54.0,373.0,6.91,3.0,,,145.0,199.0,208.3,172.3,15.0,22.0,61.0
Dennis Pitta,BAL,TE,27.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,94.0,61.0,669.0,10.97,7.0,,,109.0,170.0,172.9,139.4,13.0,7.0,62.0
T.Y. Hilton,IND,WR,23.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,29.0,5.8,0.0,90.0,50.0,861.0,17.22,7.0,,,131.0,181.0,190.0,162.0,13.0,23.0,63.0
Mike Wallace,PIT,WR,26.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.4,0.0,119.0,64.0,836.0,13.06,8.0,,,130.0,194.0,198.3,162.3,12.0,24.0,64.0
Owen Daniels,HOU,TE,30.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,104.0,62.0,716.0,11.55,6.0,,,108.0,170.0,172.6,138.6,12.0,8.0,65.0
Darren Sproles,NOR,RB,29.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,48.0,244.0,5.08,1.0,104.0,75.0,667.0,8.89,7.0,1.0,,141.0,216.0,222.1,178.6,11.0,23.0,66.0
Miles Austin,DAL,WR,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,119.0,66.0,943.0,14.29,6.0,,,128.0,194.0,198.3,161.3,10.0,25.0,67.0
Kyle Rudolph,MIN,TE,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,93.0,53.0,493.0,9.3,9.0,1.0,,105.0,158.0,161.3,131.8,10.0,9.0,68.0
Brandon Myers,OAK,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,105.0,79.0,806.0,10.2,4.0,,,105.0,184.0,186.6,144.1,9.0,10.0,69.0
