Rk,Player,Team,Pos,FGM,FG Att,FG_Pct,Blk,Lng,1-19_A-M,1-19_Pct,20-29_A-M,20-29_Pct,30-39_A-M,30-39_Pct,40-49_A-M,40-49_Pct,50+_A-M,50+_Pct,XPM,XP Att,XP_Pct,Blk,YEAR
12,Ryan Succop,KC,K,28,34,82,0,52,0-0,0,5-4,80,15-12,80,12-10,83,2-2,100,17,17,100,0,2012.0
12,Shaun Suisham,PIT,K,28,31,90,0,52,0-0,0,8-7,88,8-8,100,12-12,100,3-1,33,34,34,100,0,2012.0
15,Alex Henery,PHI,K,27,31,87,0,49,0-0,0,9-8,89,9-8,89,12-11,92,1-0,0,25,26,96,0,2012.0
16,Matt Prater,DEN,K,26,32,81,0,53,1-1,100,7-7,100,11-10,91,9-5,56,4-3,75,55,55,100,0,2012.0
16,Adam Vinatieri,IND,K,26,33,79,2,53,1-1,100,8-8,100,7-4,57,10-9,90,7-4,57,37,37,100,0,2012.0
18,Rob Bironas,TEN,K,25,31,81,1,53,0-0,0,6-6,100,13-13,100,10-5,50,2-1,50,35,35,100,0,2012.0
18,Jay Feely,ARI,K,25,28,89,1,61,0-0,0,6-6,100,10-9,90,10-8,80,2-2,100,25,25,100,0,2012.0
18,Josh Scobee,JAC,K,25,28,89,0,50,1-1,100,4-4,100,8-8,100,13-11,85,2-1,50,18,19,95,1,2012.0
21,Stephen Hauschka,SEA,K,24,27,89,1,52,1-1,100,7-7,100,10-10,100,5-5,100,4-1,25,46,48,96,2,2012.0
22,Greg Zuerlein,STL,K,23,31,74,0,60,1-1,100,4-4,100,6-4,67,7-7,100,13-7,54,26,26,100,0,2012.0
23,Dan Carpenter,MIA,K,22,27,82,0,53,0-0,0,3-3,100,9-9,100,10-8,80,5-2,40,26,26,100,0,2012.0
24,Mason Crosby,GB,K,21,33,64,0,54,0-0,0,5-5,100,7-5,71,12-9,75,9-2,22,50,50,100,0,2012.0
24,Nick Folk,NYJ,K,21,27,78,3,54,0-0,0,8-7,88,8-6,75,7-5,71,4-3,75,30,30,100,0,2012.0
24,Robbie Gould,CHI,K,21,25,84,2,54,0-0,0,7-7,100,7-5,71,9-7,78,2-2,100,33,33,100,0,2012.0
24,Rian Lindell,BUF,K,21,24,88,0,50,1-1,100,3-3,100,11-10,91,7-6,86,2-1,50,39,39,100,0,2012.0
28,Mike Nugent,CIN,K,19,23,83,0,55,2-2,100,5-5,100,5-5,100,9-6,67,2-1,50,35,35,100,0,2012.0
29,Garrett Hartley,NO,K,18,22,82,0,53,0-0,0,9-9,100,6-4,67,3-2,67,4-3,75,57,57,100,0,2012.0
29,Nick Novak,SD,K,18,20,90,0,51,1-1,100,5-5,100,6-6,100,4-4,100,4-2,50,33,33,100,0,2012.0
31,Kai Forbath,WAS,K,17,18,94,0,50,0-0,0,3-3,100,3-2,67,11-11,100,1-1,100,33,34,97,1,2012.0
