Rk,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Lng,TD,20+,40+,1st,1st%,FUM,YEAR
33,Anquan Boldin,BAL,WR,57,887,15.6,63.4,56,3,15,1,44,77.2,0,2011
34,Austin Collie,IND,WR,54,514,9.5,32.1,27,1,6,0,35,64.8,0,2011
34,Early Doucet,ARI,WR,54,689,12.8,43.1,70T,5,9,2,35,64.8,1,2011
34,Julio Jones,ATL,WR,54,959,17.8,73.8,80T,8,16,7,34,63.0,1,2011
34,Laurent Robinson,DAL,WR,54,858,15.9,61.3,74,11,12,5,36,66.7,0,2011
38,Jason Avant,PHI,WR,52,679,13.1,42.4,35,1,10,0,33,63.5,2,2011
38,Lance Moore,NO,WR,52,627,12.1,44.8,47T,8,9,2,35,67.3,0,2011
40,Doug Baldwin,SEA,WR,51,788,15.5,49.2,55T,4,19,2,40,78.4,0,2011
40,Davone Bess,MIA,WR,51,537,10.5,33.6,41,3,8,1,25,49.0,2,2011
40,Deion Branch,NE,WR,51,702,13.8,46.8,63,5,10,2,37,72.5,0,2011
40,Santonio Holmes,NYJ,WR,51,654,12.8,40.9,38T,8,8,0,34,66.7,2,2011
40,Brandon Lloyd,STL,WR,51,683,13.4,62.1,37,5,10,0,31,60.8,0,2011
40,Andre Roberts,ARI,WR,51,586,11.5,36.6,45,2,7,2,29,56.9,1,2011
46,Jerome Simpson,CIN,WR,50,725,14.5,45.3,84,4,10,3,34,68.0,0,2011
46,Torrey Smith,BAL,WR,50,841,16.8,52.6,74T,7,14,4,34,68.0,1,2011
48,Titus Young,DET,WR,48,607,12.6,37.9,57T,6,7,4,33,68.8,1,2011
49,Lavelle Hawkins,TEN,WR,47,470,10.0,29.4,32,1,5,0,23,48.9,1,2011
50,Santana Moss,WAS,WR,46,584,12.7,48.7,49T,4,10,1,35,76.1,0,2011
1,Calvin Johnson,DET,WR,122,"1,964",16.1,122.8,53,5,40,5,92,75.4,3,2012
2,Brandon Marshall,CHI,WR,118,"1,508",12.8,94.2,56,11,18,2,75,63.6,2,2012
2,Wes Welker,NE,WR,118,"1,354",11.5,84.6,59,6,13,2,72,61.0,2,2012
4,Andre Johnson,HOU,WR,112,"1,598",14.3,99.9,60T,4,23,5,79,70.5,0,2012
5,Reggie Wayne,IND,WR,106,"1,355",12.8,84.7,33,5,22,0,73,68.9,1,2012
6,A.J. Green,CIN,WR,97,"1,350",13.9,84.4,73T,11,16,7,61,62.9,2,2012
7,Demaryius Thomas,DEN,WR,94,"1,434",15.3,89.6,71T,10,29,5,60,63.8,3,2012
8,Dez Bryant,DAL,WR,92,"1,382",15.0,86.4,85T,12,19,6,54,58.7,2,2012
